TMDB_ID,季数,集数,名称,简介,剧照路径,播出日期,评分
95479,1,36,钝刀,虎杖与伏黑攻破咒诅师粟坂的术式，成功解除“禁止术师进入的帐”。另一方面，七海完成了只有一级术师能申请的要求，回来与伊地知会合，却发现他被人刺倒在地。另外，在七海发现伊地知的稍早之前，钉崎与新田听从真希的指示，前去寻找伊地知，却在路上碰到咒诅师……,,2023-10-12,
95479,1,37,赫鳞,有了狗卷的协助，虎杖总算抵达了涩谷车站站内。这时胀相出现在他的眼前：「我要为弟弟复仇……！」不由分说地发动攻击。在交战途中，面对陷入苦战的虎杖，胀相问了一句：「我弟弟在最后有没有留下什么遗言？」,,2023-10-19,
95479,1,38,摇荡,冥冥与忧忧正在对付披着夏油杰外皮的某人所召唤出的特级特定疾病咒灵。冥冥冷静分析状况，与忧忧一起使出某个战术。在另一头，击败重面的七海与真希和直毘人会合，却遇到能力呈现未知数的咒灵。直毘人发动术式，展开高速攻击，但是……,,2023-10-26,
95479,1,39,摇荡-贰-,特级咒灵·多贵的领域展开“荡蕴平线”使七海、真希和直毘人陷入困境。在这个时候，伏黑前来帮助他们，为他们提供了生路，但甚尔也突然加入战局。处于暴走状态的甚尔直接攻击陀艮这位强者。与此同时，美美子和菜菜子在与脹相战斗中失去意识的虎杖身下……。,,2023-11-02,
95479,1,40,霹雳,醒来的宿儺不听漏瑚的建议，对特级咒灵漏瑚表现出压倒性的强大。另一方面，还不知道对方的身份，与暴走的甚尔对峙的伏黑。对压倒性的甚尔展开了勉强的攻防的伏黑——,,2023-11-09,
95479,1,41,霹雳-贰-,伏黑与甚尔交战后身负重伤，又被偶然经过的重面突袭。陷入濒死状态的伏黑拼命拖着沉重的步伐前进。他走到道玄坂宽敞的十字路口，运用自己的术式「十种影法术」召唤出某个式神……,,2023-11-16,
95479,1,42,理非,宿傩破坏了涩谷的街道，杀死无数人，击败了伏黑的式神。而后虎杖甦醒，亲眼目睹惨状。他面露悲壮的决心，如行尸走肉般跨出步伐；另一方面，七海精疲力竭，即使意识朦胧，依旧持续祓除成群的改造人。然而这时真人现身……,,2023-11-23,
95479,1,43,理非-贰-,虎杖与真人展开一进一退的攻防战，然而真人利用一般民众，这策略使虎杖陷入苦战。与此同时，钉崎不顾新田的拦阻回到战场上，巧遇真人的分身。真人企图杀死钉崎，重挫虎杖的灵魂，而钉崎则是一边提防真人的术式，一边应战。眼看攻击对真人无效，钉崎她……,,2023-11-30,
95479,1,44,理非-叁-,眼前的惨状使虎杖愣在原地，虎杖的内心已经承受不住。而事情按照自己的理想发展，身为「诅咒」的真人兴奋不已，想进一步将虎杖逼到绝境。然而在真人即将使出致命一击之时……,,2023-12-07,
95479,1,45,变身,虎杖自险境获救，在东堂的鼓舞之下，再次奋起。在激烈的攻防战之中，继虎杖、真人，东堂也跟着使出黑闪，三人各自引出了本身120%的潜在能力。真人使出真本事，发动「多重魂」、「拨体」，展开全方位范围攻击。虎杖、东堂与真人的最后一次互相诅咒正式开始。,,2023-12-14,
95479,1,46,变身-贰-,虎杖和真人的死斗刚结束的瞬间，“救救他吧，真人”，披着夏油皮的什么人向真人打招呼。瞬间虎杖发现站在眼前的那个男人和封印了五条的人是同一个人而对抗，但是被那个男人反复出现的夏油杰的咒灵操术阻止了。然后那个男人开始说某件事…。,,2023-12-22,
95479,1,47,涩谷事变 关门,涩谷事变迎来最终局面，咒术师集结，这时胀相察觉了寄生在夏油亡骸的「幕后黑手」的真面目。然后在绝命危机时出现的是特级术师 ── 九十九由基。九十九与「幕后黑手」各自讲述人类的未来（下一个阶段）。事变终焉招来破坏与混乱，世界骤变……,,2023-12-28,
95479,1,48,执行,,,2026-01-09,
95479,1,49,再来一次,,,2026-01-09,
95479,1,50,第 50 集,,,2026-01-16,
95479,1,51,第 51 集,,,2026-01-23,
95479,1,52,第 52 集,,,2026-01-30,
95479,1,53,第 53 集,,,2026-02-06,
95479,1,54,第 54 集,,,2026-02-13,
95479,1,55,第 55 集,,,2026-02-27,
95479,1,56,第 56 集,,,2026-03-06,
95479,1,57,第 57 集,,,2026-03-13,
95479,1,58,第 58 集,,,2026-03-20,
95479,1,59,第 59 集,,,2026-03-27,
296851,1,1,海市蜃楼之城,,,2025-10-05,
296851,1,2,第 2 集,,,2025-10-12,
296851,1,3,第 3 集,,,2025-10-19,
296851,1,4,第 4 集,,,2025-10-26,
296851,1,5,第 5 集,,,2025-11-02,
296851,1,6,第 6 集,,,2025-11-09,
296851,1,7,第 7 集,,,2025-11-16,
296851,1,8,第 8 集,,,2025-11-23,
296851,1,9,第 9 集,,,2025-11-30,
296851,1,10,第 10 集,,,2025-12-07,
296851,1,11,第 11 集,,,2025-12-14,
296851,1,12,第 12 集,,,2025-12-21,
296851,1,13,第 13 集,,,2026-01-04,
296851,1,14,第 14 集,,,2026-01-11,
296851,1,15,第 15 集,,,2026-01-18,
296851,1,16,第 16 集,,,2026-01-25,
296851,1,17,第 17 集,,,2026-02-01,
296851,1,18,第 18 集,,,2026-02-08,
296851,1,19,第 19 集,,,2026-02-15,
296851,1,20,第 20 集,,,2026-02-22,
296851,1,21,第 21 集,,,2026-03-01,
296851,1,22,第 22 集,,,2026-03-08,
296851,1,23,第 23 集,,,2026-03-15,
296851,1,24,第 24 集,,,2026-03-22,
305899,1,1,天帝重生,天帝叶云飞渡劫被偷袭，重生回武脉尽废的少年时，重开混沌神脉复炼体三重，打脸挑衅者，休掉变心未婚妻施小蝶，得青梅苏青洛相助……,,2025-11-22,
305899,1,2,楚楚动人,叶云飞返家打脸挑衅的叶强父子。见父亲后定下护家决心，去灵珍坊凭丹方和医术折服萧楚楚达成合作，同时察觉族内与四大家族危机暗涌。,,2025-11-22,
305899,1,3,族比大会,叶家族比开启，叶云飞先救身陷险境的小月与叶雪，三巴掌再虐叶强，随后以凌风神步加剑意碾压炼体九重的叶雷，反杀其偷袭后，直指叶仲年揭露夺权阴谋。,,2025-11-22,
305899,1,4,天帝要吃软饭？,叶云飞拆穿叶仲年勾结外家的阴谋，叶家亏空陷入还债的境地。就在此时，苏青洛萧楚楚齐齐伸出援手……,,2025-11-29,
305899,1,5,兽林夺宝,叶云飞主仆三人启程天兽森林，偶然救下一只小狐狸。与此同时萧无痕也爆笑出场，不过他似乎和叶云飞产生了点小摩擦？,,2025-12-06,
305899,1,6,百花定情,叶云飞被阴风佣兵团、林老等人围攻坠崖，幸好苏青洛及时赶到美救英雄！在百花谷苏青洛等来了叶云飞的深情告白，两人再续前世情缘。而另一边小月与周木也被追杀，叶云飞赶来救场，而他的实力似乎又精进了一步……,,2025-12-13,
305899,1,7,夺矿大赛,神秘男子被叶云飞成功医治，二人因此结交为好友。夺矿大赛也正式开启，秦安和叶云飞这一世第一次见面，火药味就已经拉满！面对三大家族联合出手，叶云飞该如何带领族人破局？,,2025-12-20,
305899,1,8,叶天帝手撕恶女,夺矿大赛的输赢施小蝶已不在乎，带着八阶魔兽赤火玄金蟒前来偷袭，一心只为击杀叶云飞！但叶家族人以性命相护为叶云飞拖延了时间，最终重伤施小蝶。秦安得知后暴怒而起要为施小蝶报仇！,,2025-12-27,
305899,1,9,宿命对决,紧急关头叶天风幡然醒悟，最终为了叶家献出生命，是叶云飞永远的大哥！夺矿大赛也进入到了最后的争夺，面对秦安天灵体的杀招，叶云飞强行突破，二人谁能插旗成功？,,2026-01-03,
305899,1,10,灭族之危！,叶家赢下夺矿大赛，庆功宴上叶云飞又当众求娶苏青洛，喜事连连，热闹非凡！却没想到意外突发，三大家族集合攻击叶家！关键时刻，叶家长老出关，纷纷突破修为，局势瞬间逆转，然而萧无痕却勾结城主围堵叶家，面对多方施压，叶云飞又将如何化解危机？,,2026-01-10,
305899,1,11,第 11 集,,,2026-01-17,
305899,1,12,第 12 集,,,2026-01-24,
305899,1,13,第 13 集,,,2026-01-31,
305899,1,14,第 14 集,,,2026-02-07,
305899,1,15,第 15 集,,,2026-02-14,
305899,1,16,第 16 集,,,2026-02-21,
305899,1,17,第 17 集,,,2026-02-28,
305899,1,18,第 18 集,,,2026-03-07,
305899,1,19,第 19 集,,,2026-03-14,
305899,1,20,第 20 集,,,2026-03-21,
223911,1,1,离乡,少年王林，家境贫困，一直受到王氏家族其他人的排挤。某日，王氏家族拿到修仙界【恒岳派】三个试炼弟子的名额，而王林有幸获得其中一个名额的机会。但由于自身修仙资质不够，王林只能靠展示自己的毅力和决心去赢得入门的机会。,,2023-09-25,
223911,1,2,入门,王林选择爬山试炼，想以此创造出被门派收取的资格。途中王林跌下山崖却意外遇到【天逆珠】并被其认可。珠内一位元婴级别的人物【司徒南】传授王林凝气口诀助其修炼。入门后，王林只能做个记名弟子，平日里只能打打杂活儿。靠着天逆珠的功效，自己身上的修炼不断获得提升，还意外发现提升天逆珠能力的方法。某日，王林被选中去做黄衣弟子，算是真正可以开始修仙了。,,2023-09-25,
223911,1,3,比试,王林怀疑收自己入门的那位师傅，给自己下了毒。一日，玄道宗弟子来到恒岳派准备进行宗门比试。王林被安排去喂养玄道宗坐骑【千足蜈蚣】。借此机会，王林从这只千足蜈蚣嘴里盗取一些毒液，用以毒攻毒来治疗自己。解毒之余，自己的修炼境界也意外地爆升至凝气十四层。,,2023-09-25,
223911,1,4,劫来,两宗比试的时候，玄道宗弟子出手狠辣且伤击无辜之人。王林出手阻拦，并以凝气十四层的修为，打败了玄道宗的大弟子，令所有人刮目相看。比试过后，玄道宗与恒岳派就此决裂。不久，恒岳派在失去元婴级别的前提下，宗门被玄道宗接管。在宗门破，王林反杀了那位一直想谋害自己的师傅，并决定隐居深山开始独自的修行之路。,,2023-10-02,
223911,1,5,故友,几年后，王林出山寻求筑基机缘，与一堆江湖人士同行。不巧却遇上了山贼，对方首领是一名散修【白展】，而王林从队伍中认出了曾经的好友【张虎】，但对方似乎被首领下了禁制。王林出手杀死了白展，解救了好友。两人决定去藤家城暂避风头，然而白展的师傅即墨老人已经委托藤家城家主帮助查找杀害自己徒弟的凶手。,,2023-10-09,
